Ensembl	Gene	"Gene description"	"Biological process"	"Molecular function"	Evidence
ENSG00000145192	AHSG	"Alpha 2-HS glycoprotein"	"Mineral balance"		"Evidence at protein level"
ENSG00000164022	AIMP1	"Aminoacyl tRNA synthetase complex interacting multifunctional protein 1"	"Angiogenesis, Apoptosis, Inflammatory response, Protein biosynthesis"	"Cytokine, RNA-binding, tRNA-binding"	"Evidence at protein level"
ENSG00000198074	AKR1B10	"Aldo-keto reductase family 1 member B10"		Oxidoreductase	"Evidence at protein level"
ENSG00000163631	ALB	Albumin			"Evidence at protein level"
ENSG00000196711	ALKAL1	"ALK and LTK ligand 1"			"Evidence at protein level"
ENSG00000189292	ALKAL2	"ALK and LTK ligand 2"			"Evidence at protein level"
ENSG00000178522	AMBN	Ameloblastin	Biomineralization		"Evidence at protein level"
ENSG00000106927	AMBP	"Alpha-1-microglobulin/bikunin precursor"	"Host-virus interaction"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000125363	AMELX	"Amelogenin, X-linked"	Biomineralization		"Evidence at protein level"
ENSG00000099721	AMELY	"Amelogenin, Y-linked"	Biomineralization		"Evidence at transcript level"
ENSG00000104899	AMH	"Anti-Mullerian hormone"	"Differentiation, Gonadal differentiation"	"Growth factor"	"Evidence at protein level"
ENSG00000187689	AMTN	Amelotin	"Biomineralization, Cell adhesion"		"Evidence at protein level"
ENSG00000237763	AMY1A	"Amylase, alpha 1A (salivary)"	"Carbohydrate metabolism"	"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000174876	AMY1B	"Amylase, alpha 1B (salivary)"	"Carbohydrate metabolism"	"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000187733	AMY1C	"Amylase, alpha 1C (salivary)"	"Carbohydrate metabolism"	"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000243480	AMY2A	"Amylase, alpha 2A (pancreatic)"	"Carbohydrate metabolism"	"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000240038	AMY2B	"Amylase, alpha 2B (pancreatic)"	"Carbohydrate metabolism"	"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000214274	ANG	Angiogenin	"Angiogenesis, Differentiation, Stress response"	"Developmental protein, DNA-binding, Endonuclease, Hydrolase, Nuclease, Protein synthesis inhibitor"	"Evidence at protein level"
ENSG00000154188	ANGPT1	"Angiopoietin 1"	"Angiogenesis, Differentiation"	"Developmental protein"	"Evidence at protein level"
ENSG00000091879	ANGPT2	"Angiopoietin 2"	"Angiogenesis, Differentiation"	"Developmental protein"	"Evidence at protein level"
ENSG00000101280	ANGPT4	"Angiopoietin 4"	Angiogenesis		"Evidence at protein level"
ENSG00000116194	ANGPTL1	"Angiopoietin like 1"			"Evidence at protein level"
ENSG00000136859	ANGPTL2	"Angiopoietin like 2"			"Evidence at protein level"
ENSG00000132855	ANGPTL3	"Angiopoietin like 3"	"Angiogenesis, Cell adhesion, Lipid metabolism"	Heparin-binding	"Evidence at protein level"
ENSG00000167772	ANGPTL4	"Angiopoietin like 4"	"Angiogenesis, Lipid metabolism"		"Evidence at protein level"
ENSG00000187151	ANGPTL5	"Angiopoietin like 5"			"Evidence at protein level"
ENSG00000130812	ANGPTL6	"Angiopoietin like 6"	"Angiogenesis, Differentiation"	"Developmental protein"	"Evidence at protein level"
ENSG00000171819	ANGPTL7	"Angiopoietin like 7"			"Evidence at protein level"
ENSG00000130173	ANGPTL8	"Angiopoietin like 8"	"Lipid metabolism"	Hormone	"Evidence at protein level"
ENSG00000166839	ANKDD1A	"Ankyrin repeat and death domain containing 1A"			"Evidence at protein level"
ENSG00000011201	ANOS1	"Anosmin 1"	"Cell adhesion, Chemotaxis"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000135046	ANXA1	"Annexin A1"	"Adaptive immunity, Immunity, Inflammatory response, Innate immunity"	"Phospholipase A2 inhibitor"	"Evidence at protein level"
ENSG00000182718	ANXA2	"Annexin A2"	"Host-virus interaction"	RNA-binding	"Evidence at protein level"
ENSG00000136250	AOAH	"Acyloxyacyl hydrolase"	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
ENSG00000002726	AOC1	"Amine oxidase, copper containing 1"		"Heparin-binding, Oxidoreductase"	"Evidence at protein level"
ENSG00000131471	AOC3	"Amine oxidase, copper containing 3"	"Cell adhesion"	Oxidoreductase	"Evidence at protein level"
ENSG00000285010	AP000790.4				"Evidence at transcript level"
ENSG00000285231	AP002347.1				"Evidence at transcript level"
ENSG00000132703	APCS	"Amyloid P component, serum"			"Evidence at protein level"
ENSG00000248329	APELA	"Apelin receptor early endogenous ligand"	"Angiogenesis, Differentiation, Gastrulation"	"Developmental protein, Hormone"	"Evidence at protein level"
ENSG00000171388	APLN	Apelin	"Angiogenesis, Gastrulation, Host-virus interaction"	"Developmental protein, Hormone"	"Evidence at protein level"
ENSG00000118137	APOA1	"Apolipoprotein A1"	"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"		"Evidence at protein level"
ENSG00000158874	APOA2	"Apolipoprotein A2"	"Host-virus interaction, Lipid transport, Transport"		"Evidence at protein level"
ENSG00000110244	APOA4	"Apolipoprotein A4"	"Lipid transport, Transport"		"Evidence at protein level"
ENSG00000110243	APOA5	"Apolipoprotein A5"	"Lipid transport, Transport"		"Evidence at protein level"
ENSG00000084674	APOB	"Apolipoprotein B"	"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"	Heparin-binding	"Evidence at protein level"
ENSG00000130208	APOC1	"Apolipoprotein C1"	"Lipid transport, Transport"		"Evidence at protein level"
ENSG00000234906	APOC2	"Apolipoprotein C2"	"Lipid degradation, Lipid metabolism, Lipid transport, Transport"		"Evidence at protein level"
ENSG00000110245	APOC3	"Apolipoprotein C3"	"Lipid degradation, Lipid metabolism, Lipid transport, Transport"		"Evidence at protein level"
ENSG00000267467	APOC4	"Apolipoprotein C4"	"Lipid transport, Transport"		"Evidence at protein level"
ENSG00000189058	APOD	"Apolipoprotein D"	Transport		"Evidence at protein level"
ENSG00000130203	APOE	"Apolipoprotein E"	"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"	Heparin-binding	"Evidence at protein level"
ENSG00000175336	APOF	"Apolipoprotein F"	"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"		"Evidence at protein level"
ENSG00000091583	APOH	"Apolipoprotein H"		Heparin-binding	"Evidence at protein level"
ENSG00000100342	APOL1	"Apolipoprotein L1"	"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"		"Evidence at protein level"
ENSG00000100336	APOL4	"Apolipoprotein L4"	"Lipid transport, Transport"		"Evidence at protein level"
ENSG00000204444	APOM	"Apolipoprotein M"	"Lipid transport, Transport"		"Evidence at protein level"
ENSG00000184831	APOO	"Apolipoprotein O"	"Lipid transport, Transport"		"Evidence at protein level"
ENSG00000062096	ARSF	"Arylsulfatase F"		Hydrolase	"Evidence at protein level"
ENSG00000183876	ARSI	"Arylsulfatase family member I"		Hydrolase	"Evidence at protein level"
ENSG00000180801	ARSJ	"Arylsulfatase family member J"		Hydrolase	"Evidence at protein level"
ENSG00000164291	ARSK	"Arylsulfatase family member K"		Hydrolase	"Evidence at protein level"
ENSG00000111339	ART4	"ADP-ribosyltransferase 4 (Dombrock blood group)"		"Blood group antigen, Glycosyltransferase, Transferase"	"Evidence at protein level"
ENSG00000167311	ART5	"ADP-ribosyltransferase 5"		"Glycosyltransferase, Transferase"	"Evidence at protein level"
ENSG00000117407	ARTN	Artemin		"Growth factor"	"Evidence at protein level"
ENSG00000101440	ASIP	"Agouti signaling protein"			"Evidence at protein level"
ENSG00000106819	ASPN	Asporin	Biomineralization		"Evidence at protein level"
ENSG00000188886	ASTL	"Astacin like metalloendopeptidase"	Fertilization	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000088812	ATRN	Attractin	"Inflammatory response"	Receptor	"Evidence at protein level"
ENSG00000101200	AVP	"Arginine vasopressin"		"Hormone, Vasoactive, Vasoconstrictor"	"Evidence at protein level"
ENSG00000160862	AZGP1	"Alpha-2-glycoprotein 1, zinc-binding"			"Evidence at protein level"
ENSG00000172232	AZU1	"Azurocidin 1"	Chemotaxis	"Antibiotic, Antimicrobial, Heparin-binding, Serine protease homolog"	"Evidence at protein level"
ENSG00000109956	B3GAT1	"Beta-1,3-glucuronyltransferase 1"		Transferase	"Evidence at protein level"
ENSG00000132692	BCAN	Brevican			"Evidence at protein level"
ENSG00000114200	BCHE	Butyrylcholinesterase		"Hydrolase, Serine esterase"	"Evidence at protein level"
ENSG00000176697	BDNF	"Brain derived neurotrophic factor"		"Growth factor"	"Evidence at protein level"
ENSG00000242252	BGLAP	"Bone gamma-carboxyglutamate protein"	Biomineralization		"Evidence at protein level"
ENSG00000182492	BGN	Biglycan			"Evidence at protein level"
ENSG00000168487	BMP1	"Bone morphogenetic protein 1"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000163217	BMP10	"Bone morphogenetic protein 10"	"Cell adhesion"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000130385	BMP15	"Bone morphogenetic protein 15"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000125845	BMP2	"Bone morphogenetic protein 2"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000152785	BMP3	"Bone morphogenetic protein 3"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000125378	BMP4	"Bone morphogenetic protein 4"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000112175	BMP5	"Bone morphogenetic protein 5"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000153162	BMP6	"Bone morphogenetic protein 6"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000101144	BMP7	"Bone morphogenetic protein 7"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000183682	BMP8A	"Bone morphogenetic protein 8a"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at transcript level"
ENSG00000116985	BMP8B	"Bone morphogenetic protein 8b"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000164619	BMPER	"BMP binding endothelial regulator"			"Evidence at protein level"
ENSG00000101425	BPI	"Bactericidal/permeability-increasing protein"		"Antibiotic, Antimicrobial"	"Evidence at protein level"
ENSG00000198183	BPIFA1	"BPI fold containing family A member 1"	"Immunity, Innate immunity"	"Antibiotic, Antimicrobial"	"Evidence at protein level"
ENSG00000131050	BPIFA2	"BPI fold containing family A member 2"		"Antibiotic, Antimicrobial"	"Evidence at protein level"
ENSG00000131059	BPIFA3	"BPI fold containing family A member 3"			"Evidence at protein level"
ENSG00000125999	BPIFB1	"BPI fold containing family B member 1"	"Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000186191	BPIFB4	"BPI fold containing family B member 4"			"Evidence at protein level"
ENSG00000184459	BPIFC	"BPI fold containing family C"			"Evidence at transcript level"
ENSG00000198797	BRINP2	"BMP/retinoic acid inducible neural specific 2"	"Cell cycle, Growth arrest"		"Evidence at protein level"
ENSG00000162670	BRINP3	"BMP/retinoic acid inducible neural specific 3"	"Cell cycle, Growth arrest"		"Evidence at protein level"
ENSG00000188334	BSPH1	"Binder of sperm protein homolog 1"	Fertilization		"Evidence at protein level"
ENSG00000204347	BTBD17	"BTB domain containing 17"			"Evidence at protein level"
ENSG00000174808	BTC	Betacellulin		"Growth factor, Mitogen"	"Evidence at protein level"
ENSG00000169814	BTD	Biotinidase		Hydrolase	"Evidence at protein level"
ENSG00000124557	BTN1A1	"Butyrophilin subfamily 1 member A1"			"Evidence at protein level"
ENSG00000276911	BX248415.1				"Evidence at protein level"
ENSG00000120055	C10orf95	"Chromosome 10 open reading frame 95"			"Evidence at transcript level"
ENSG00000188373	C10orf99	"Chromosome 10 open reading frame 99"	Chemotaxis	"Antibiotic, Antimicrobial, Cytokine"	"Evidence at protein level"
ENSG00000174370	C11orf45	"Chromosome 11 open reading frame 45"			"Evidence at transcript level"
ENSG00000234776	C11orf94	"Chromosome 11 open reading frame 94"			"Evidence at transcript level"
ENSG00000111412	C12orf49	"Chromosome 12 open reading frame 49"			"Evidence at protein level"
ENSG00000204954	C12orf73	"Chromosome 12 open reading frame 73"			"Evidence at protein level"
ENSG00000100802	C14orf93	"Chromosome 14 open reading frame 93"			"Evidence at protein level"
ENSG00000189227	C15orf61	"Chromosome 15 open reading frame 61"			"Evidence at protein level"
ENSG00000153446	C16orf89	"Chromosome 16 open reading frame 89"			"Evidence at protein level"
ENSG00000214226	C17orf67	"Chromosome 17 open reading frame 67"			"Evidence at protein level"
ENSG00000187997	C17orf99	"Chromosome 17 open reading frame 99"	"Adaptive immunity, Immunity"	Cytokine	"Evidence at protein level"
ENSG00000166845	C18orf54	"Chromosome 18 open reading frame 54"			"Evidence at protein level"
ENSG00000118292	C1orf54	"Chromosome 1 open reading frame 54"			"Evidence at transcript level"
ENSG00000143443	C1orf56	"Chromosome 1 open reading frame 56"			"Evidence at protein level"
ENSG00000173372	C1QA	"Complement C1q A chain"	"Complement pathway, Host-virus interaction, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000173369	C1QB	"Complement C1q B chain"	"Complement pathway, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000159189	C1QC	"Complement C1q C chain"	"Complement pathway, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000131094	C1QL1	"Complement C1q like 1"			"Evidence at protein level"
ENSG00000144119	C1QL2	"Complement C1q like 2"			"Evidence at protein level"
ENSG00000165985	C1QL3	"Complement C1q like 3"			"Evidence at protein level"
ENSG00000186897	C1QL4	"Complement C1q like 4"			"Evidence at protein level"
ENSG00000173918	C1QTNF1	"C1q and TNF related 1"			"Evidence at protein level"
ENSG00000184163	C1QTNF12	"C1q and TNF related 12"		Hormone	"Evidence at protein level"
ENSG00000145861	C1QTNF2	"C1q and TNF related 2"			"Evidence at protein level"
ENSG00000082196	C1QTNF3	"C1q and TNF related 3"			"Evidence at protein level"
ENSG00000172247	C1QTNF4	"C1q and TNF related 4"		Cytokine	"Evidence at protein level"
ENSG00000223953	C1QTNF5	"C1q and TNF related 5"			"Evidence at protein level"
ENSG00000133466	C1QTNF6	"C1q and TNF related 6"			"Evidence at protein level"
ENSG00000163145	C1QTNF7	"C1q and TNF related 7"			"Evidence at protein level"
ENSG00000184471	C1QTNF8	"C1q and TNF related 8"			"Evidence at protein level"
ENSG00000240654	C1QTNF9	"C1q and TNF related 9"		Hormone	"Evidence at protein level"
ENSG00000205863	C1QTNF9B	"C1q and TNF related 9B"			"Evidence at protein level"
ENSG00000159403	C1R	"Complement C1r"	"Complement pathway, Immunity, Innate immunity"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000139178	C1RL	"Complement C1r subcomponent like"	"Complement pathway, Immunity, Innate immunity"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000182326	C1S	"Complement C1s"	"Complement pathway, Immunity, Innate immunity"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000166278	C2	"Complement C2"	"Complement pathway, Immunity, Innate immunity"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000205929	C21orf62	"Chromosome 21 open reading frame 62"			"Evidence at protein level"
ENSG00000169314	C22orf15	"Chromosome 22 open reading frame 15"			"Evidence at protein level"
ENSG00000184208	C22orf46	"Chromosome 22 open reading frame 46"			"Evidence at transcript level"
ENSG00000119147	C2orf40	"Chromosome 2 open reading frame 40"			"Evidence at protein level"
ENSG00000187944	C2orf66	"Chromosome 2 open reading frame 66"			"Evidence at transcript level"
ENSG00000178074	C2orf69	"Chromosome 2 open reading frame 69"			"Evidence at protein level"
ENSG00000125730	C3	"Complement C3"	"Complement alternate pathway, Complement pathway, Fatty acid metabolism, Immunity, Inflammatory response, Innate immunity, Lipid metabolism"		"Evidence at protein level"
ENSG00000174928	C3orf33	"Chromosome 3 open reading frame 33"			"Evidence at protein level"
ENSG00000181744	C3orf58	"Chromosome 3 open reading frame 58"			"Evidence at protein level"
ENSG00000244731	C4A	"Complement C4A (Rodgers blood group)"	"Complement pathway, Immunity, Inflammatory response, Innate immunity"	"Blood group antigen"	"Evidence at protein level"
ENSG00000224389	C4B	"Complement C4B (Chido blood group)"	"Complement pathway, Immunity, Inflammatory response, Innate immunity"	"Blood group antigen"	"Evidence at protein level"
ENSG00000123838	C4BPA	"Complement component 4 binding protein alpha"	"Complement pathway, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000123843	C4BPB	"Complement component 4 binding protein beta"	"Complement pathway, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000243449	C4orf48	"Chromosome 4 open reading frame 48"			"Evidence at protein level"
ENSG00000106804	C5	"Complement C5"	"Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Inflammatory response, Innate immunity"		"Evidence at protein level"
ENSG00000186493	C5orf38	"Chromosome 5 open reading frame 38"			"Evidence at protein level"
ENSG00000178776	C5orf46	"Chromosome 5 open reading frame 46"			"Evidence at protein level"
ENSG00000039537	C6	"Complement C6"	"Complement pathway, Cytolysis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000185127	C6orf120	"Chromosome 6 open reading frame 120"	Apoptosis		"Evidence at protein level"
ENSG00000204542	C6orf15	"Chromosome 6 open reading frame 15"			"Evidence at protein level"
ENSG00000184530	C6orf58	"Chromosome 6 open reading frame 58"		"Developmental protein"	"Evidence at protein level"
ENSG00000112936	C7	"Complement C7"	"Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000157131	C8A	"Complement C8 alpha chain"	"Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000021852	C8B	"Complement C8 beta chain"	"Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000176919	C8G	"Complement C8 gamma chain"	"Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000113600	C9	"Complement C9"	"Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000186354	C9orf47	"Chromosome 9 open reading frame 47"			"Evidence at transcript level"
ENSG00000147894	C9orf72	"Chromosome 9 open reading frame 72"	Autophagy	"Guanine-nucleotide releasing factor"	"Evidence at protein level"
ENSG00000154975	CA10	"Carbonic anhydrase 10"			"Evidence at protein level"
ENSG00000063180	CA11	"Carbonic anhydrase 11"			"Evidence at protein level"
ENSG00000131686	CA6	"Carbonic anhydrase 6"		Lyase	"Evidence at protein level"
ENSG00000110680	CALCA	"Calcitonin related polypeptide alpha"		Hormone	"Evidence at protein level"
